site_id,latitude,longitude,IGBP,Koppen
AT-Neu,47.1167,11.3175,Grassland,Cold
AU-ASM,-22.283,133.249,Savanna,Arid
AU-Cpr,-34.0021,140.5891,Savanna,Arid
AU-Cum,-33.6152,150.7236,Forest,Temperate
AU-DaP,-14.0633,131.3181,Grassland,Tropical
AU-DaS,-14.1593,131.3881,Savanna,Tropical
AU-Dry,-15.2588,132.3706,Savanna,Tropical
AU-Emr,-23.8587,148.4746,Grassland,Arid
AU-Gin,-31.3764,115.7138,Savanna,Temperate
AU-How,-12.4943,131.1523,Savanna,Tropical
AU-Lox,-34.4704,140.6551,Forest,Arid
AU-Rig,-36.6499,145.5759,Grassland,Temperate
AU-Rob,-17.1175,145.6301,Forest,Temperate
AU-Stp,-17.1507,133.3502,Grassland,Arid
AU-TTE,-22.287,133.64,Grassland,Arid
AU-Tum,-35.6566,148.1517,Forest,Temperate
AU-Wac,-37.4259,145.1878,Forest,Temperate
AU-Whr,-36.6732,145.0294,Forest,Temperate
AU-Wom,-37.4222,144.0944,Forest,Temperate
AU-Ync,-34.9893,146.2907,Grassland,Arid
BE-Bra,51.3076,4.5198,Forest,Temperate
BE-Lon,50.5516,4.7462,Cropland,Temperate
BE-Vie,50.3049,5.9981,Forest,Temperate
CA-Gro,48.2167,-82.1556,Forest,Cold
CA-Obs,53.9872,-105.1178,Forest,Cold
CA-Qfo,49.6925,-74.3421,Forest,Cold
CA-SF1,54.485,-105.8176,Forest,Cold
CA-SF2,54.2539,-105.8775,Forest,Cold
CA-SF3,54.0916,-106.0053,Shrubland,Cold
CA-TP1,42.6609,-80.5595,Forest,Cold
CA-TP2,42.7744,-80.4588,Forest,Cold
CA-TPD,42.6353,-80.5577,Forest,Cold
CH-Cha,47.2102,8.4104,Grassland,Temperate
CH-Dav,46.8153,9.8559,Forest,Polar
CH-Fru,47.1158,8.5378,Grassland,Temperate
CN-Cng,44.5934,123.5092,Grassland,Cold
CN-Du2,42.0467,116.2836,Grassland,Cold
CN-HaM,37.37,101.18,Grassland,Polar
CZ-wet,49.0247,14.7704,Wetland,Temperate
DE-Geb,51.0997,10.9146,Cropland,Temperate
DE-Gri,50.95,13.5126,Grassland,Temperate
DE-Hai,51.0792,10.4522,Forest,Temperate
DE-Kli,50.8931,13.5224,Cropland,Temperate
DE-Lkb,49.0996,13.3047,Forest,Temperate
DE-Lnf,51.3282,10.3678,Forest,Temperate
DE-Obe,50.7867,13.7213,Forest,Temperate
DE-Seh,50.8706,6.4497,Cropland,Temperate
DE-SfN,47.8064,11.3275,Wetland,Temperate
DE-Tha,50.9626,13.5651,Forest,Temperate
DK-Eng,55.6905,12.1918,Grassland,Temperate
DK-Fou,56.4842,9.5872,Cropland,Temperate
DK-Sor,55.4859,11.6446,Forest,Temperate
ES-Amo,36.8336,-2.2523,Shrubland,Arid
ES-LgS,37.0979,-2.9658,Shrubland,Temperate
ES-LJu,36.9266,-2.7521,Shrubland,Temperate
FI-Hyy,61.8474,24.2948,Forest,Cold
FI-Jok,60.8986,23.5134,Cropland,Cold
FI-Let,60.6418,23.9595,Forest,Cold
FI-Sod,67.3624,26.6386,Forest,Cold
FR-Gri,48.8442,1.9519,Cropland,Temperate
FR-LBr,44.7171,-0.7693,Forest,Temperate
FR-Pue,43.7413,3.5957,Forest,Temperate
GH-Ank,5.2685,-2.6942,Forest,Tropical
IT-BCi,40.5237,14.9574,Cropland,Temperate
IT-CA2,42.3772,12.026,Cropland,Temperate
IT-CA3,42.38,12.0222,Forest,Temperate
IT-Col,41.8494,13.5881,Forest,Temperate
IT-Isp,45.8126,8.6336,Forest,Temperate
IT-Lav,45.9562,11.2813,Forest,Temperate
IT-MBo,46.0147,11.0458,Grassland,Cold
IT-PT1,45.2009,9.061,Forest,Temperate
IT-Ren,46.5869,11.4337,Forest,Cold
IT-Ro2,42.3903,11.9209,Forest,Temperate
IT-SR2,43.732,10.2909,Forest,Temperate
IT-SRo,43.7279,10.2844,Forest,Temperate
IT-Tor,45.8444,7.5781,Grassland,Cold
NL-Loo,52.1666,5.7436,Forest,Temperate
RU-Fyo,56.4615,32.9221,Forest,Cold
SD-Dem,13.2829,30.4783,Savanna,Arid
SN-Dhr,15.4028,-15.4322,Savanna,Arid
US-AR1,36.4267,-99.42,Grassland,Temperate
US-AR2,36.6358,-99.5975,Grassland,Temperate
US-ARb,35.5497,-98.0402,Grassland,Temperate
US-ARc,35.5465,-98.04,Grassland,Temperate
US-ARM,36.6058,-97.4888,Cropland,Temperate
US-Atq,70.4696,-157.4089,Wetland,Polar
US-Blo,38.8953,-120.6328,Forest,Temperate
US-Cop,38.09,-109.39,Grassland,Arid
US-CRT,41.6285,-83.3471,Cropland,Cold
US-GBT,41.3658,-106.2397,Forest,Cold
US-GLE,41.3665,-106.2399,Forest,Cold
US-Goo,34.2547,-89.8735,Grassland,Temperate
US-IB2,41.8406,-88.241,Grassland,Cold
US-Ivo,68.4865,-155.7503,Wetland,Polar
US-Lin,36.3566,-119.0922,Cropland,Arid
US-Los,46.0827,-89.9792,Wetland,Cold
US-LWW,34.9604,-97.9789,Grassland,Temperate
US-Me2,44.4523,-121.5574,Forest,Temperate
US-Me4,44.4992,-121.6224,Forest,Temperate
US-Me5,44.4372,-121.5668,Forest,Temperate
US-MMS,39.3232,-86.4131,Forest,Temperate
US-Ne1,41.1651,-96.4766,Cropland,Cold
US-Ne2,41.1649,-96.4701,Cropland,Cold
US-Ne3,41.1797,-96.4397,Cropland,Cold
US-NR1,40.0329,-105.5464,Forest,Cold
US-Oho,41.5545,-83.8438,Forest,Cold
US-Prr,65.1237,-147.4876,Forest,Cold
US-SRC,31.9083,-110.8395,Shrubland,Arid
US-SRG,31.7894,-110.8277,Grassland,Arid
US-SRM,31.8214,-110.8661,Savanna,Arid
US-Syv,46.242,-89.3477,Forest,Cold
US-Ton,38.4309,-120.966,Savanna,Temperate
US-Tw3,38.1152,-121.6469,Cropland,Temperate
US-Tw4,38.1027,-121.6413,Wetland,Temperate
US-Var,38.4133,-120.9508,Grassland,Temperate
US-WCr,45.8059,-90.0799,Forest,Cold
US-Whs,31.7438,-110.0522,Shrubland,Arid
US-Wi0,46.6188,-91.0814,Forest,Cold
US-Wi3,46.6347,-91.0987,Forest,Cold
US-Wi4,46.7393,-91.1663,Forest,Cold
US-Wi6,46.6249,-91.2982,Shrubland,Cold
US-Wi8,46.7223,-91.2524,Forest,Cold
US-Wkg,31.7365,-109.9419,Grassland,Arid
ZM-Mon,-15.4391,23.2525,Forest,Tropical
